foamv1_OML
    1.0000000   -0.0052608
    0.9999994   -0.0052606
    0.9999975   -0.0052603
    0.9999944   -0.0052596
    0.9999901   -0.0052587
    0.9999845   -0.0052575
    0.9999776   -0.0052561
    0.9999696   -0.0052544
    0.9999602   -0.0052525
    0.9999497   -0.0052503
    0.9999379   -0.0052479
    0.9999248   -0.0052451
    0.9999105   -0.0052422
    0.9998950   -0.0052389
    0.9998782   -0.0052355
    0.9998602   -0.0052317
    0.9998410   -0.0052277
    0.9998205   -0.0052234
    0.9997987   -0.0052189
    0.9997757   -0.0052141
    0.9997515   -0.0052091
    0.9997260   -0.0052038
    0.9996993   -0.0051983
    0.9996714   -0.0051924
    0.9996422   -0.0051864
    0.9996117   -0.0051800
    0.9995801   -0.0051735
    0.9995471   -0.0051666
    0.9995130   -0.0051595
    0.9994776   -0.0051521
    0.9994409   -0.0051445
    0.9994030   -0.0051366
    0.9993639   -0.0051285
    0.9993235   -0.0051201
    0.9992819   -0.0051115
    0.9992391   -0.0051025
    0.9991950   -0.0050934
    0.9991497   -0.0050840
    0.9991031   -0.0050743
    0.9990553   -0.0050643
    0.9990062   -0.0050541
    0.9989559   -0.0050437
    0.9989044   -0.0050330
    0.9988516   -0.0050220
    0.9987976   -0.0050107
    0.9987424   -0.0049993
    0.9986859   -0.0049875
    0.9986281   -0.0049755
    0.9985692   -0.0049632
    0.9985090   -0.0049507
    0.9984475   -0.0049379
    0.9983848   -0.0049249
    0.9983209   -0.0049116
    0.9982557   -0.0048981
    0.9981893   -0.0048843
    0.9981217   -0.0048702
    0.9980528   -0.0048559
    0.9979827   -0.0048413
    0.9979114   -0.0048265
    0.9978388   -0.0048114
    0.9977649   -0.0047960
    0.9976899   -0.0047804
    0.9976136   -0.0047645
    0.9975360   -0.0047484
    0.9974573   -0.0047320
    0.9973772   -0.0047154
    0.9972960   -0.0046985
    0.9972135   -0.0046813
    0.9971298   -0.0046639
    0.9970448   -0.0046463
    0.9969586   -0.0046283
    0.9968712   -0.0046102
    0.9967826   -0.0045917
    0.9966927   -0.0045730
    0.9966015   -0.0045541
    0.9965092   -0.0045349
    0.9964156   -0.0045154
    0.9963207   -0.0044957
    0.9962247   -0.0044757
    0.9961274   -0.0044555
    0.9960288   -0.0044350
    0.9959291   -0.0044142
    0.9958281   -0.0043932
    0.9957259   -0.0043720
    0.9956224   -0.0043505
    0.9955177   -0.0043287
    0.9954118   -0.0043067
    0.9953046   -0.0042844
    0.9951962   -0.0042619
    0.9950866   -0.0042391
    0.9949758   -0.0042160
    0.9948637   -0.0041927
    0.9947504   -0.0041691
    0.9946358   -0.0041453
    0.9945201   -0.0041212
    0.9944031   -0.0040969
    0.9942849   -0.0040723
    0.9941654   -0.0040475
    0.9940447   -0.0040224
    0.9939228   -0.0039970
    0.9937997   -0.0039714
    0.9936753   -0.0039456
    0.9935497   -0.0039195
    0.9934229   -0.0038931
    0.9932948   -0.0038665
    0.9931656   -0.0038396
    0.9930351   -0.0038125
    0.9929034   -0.0037851
    0.9927704   -0.0037574
    0.9926362   -0.0037295
    0.9925008   -0.0037014
    0.9923642   -0.0036730
    0.9922264   -0.0036443
    0.9920873   -0.0036154
    0.9919470   -0.0035862
    0.9918055   -0.0035568
    0.9916628   -0.0035271
    0.9915188   -0.0034972
    0.9913736   -0.0034670
    0.9912272   -0.0034365
    0.9910796   -0.0034058
    0.9909308   -0.0033749
    0.9907807   -0.0033437
    0.9906294   -0.0033122
    0.9904769   -0.0032805
    0.9903232   -0.0032485
    0.9901683   -0.0032163
    0.9900121   -0.0031839
    0.9898547   -0.0031511
    0.9896961   -0.0031182
    0.9895363   -0.0030849
    0.9893753   -0.0030514
    0.9892130   -0.0030177
    0.9890496   -0.0029837
    0.9888849   -0.0029495
    0.9887190   -0.0029150
    0.9885519   -0.0028802
    0.9883836   -0.0028452
    0.9882141   -0.0028100
    0.9880433   -0.0027745
    0.9878713   -0.0027387
    0.9876982   -0.0027027
    0.9875238   -0.0026665
    0.9873482   -0.0026299
    0.9871714   -0.0025932
    0.9869934   -0.0025562
    0.9868141   -0.0025189
    0.9866337   -0.0024814
    0.9864520   -0.0024436
    0.9862692   -0.0024056
    0.9860851   -0.0023673
    0.9858998   -0.0023288
    0.9857133   -0.0022900
    0.9855257   -0.0022510
    0.9853368   -0.0022117
    0.9851467   -0.0021722
    0.9849553   -0.0021324
    0.9847628   -0.0020924
    0.9845691   -0.0020521
    0.9843742   -0.0020116
    0.9841780   -0.0019708
    0.9839807   -0.0019298
    0.9837822   -0.0018885
    0.9835824   -0.0018469
    0.9833815   -0.0018052
    0.9831794   -0.0017631
    0.9829760   -0.0017209
    0.9827715   -0.0016783
    0.9825657   -0.0016356
    0.9823588   -0.0015925
    0.9821506   -0.0015492
    0.9819413   -0.0015057
    0.9817307   -0.0014619
    0.9815190   -0.0014179
